onset	duration	Task
0	1.992	sync
1.992	1.992	sync
3.984	2.009	sync
5.993	5.023	sync
11.016	2.076	shape
14.029	2.076	shape
17.076	2.076	shape
20.09	2.076	shape
23.103	2.076	shape
26.117	2.076	shape
32.144	2.076	face
35.208	2.076	face
38.255	2.075	face
41.318	2.076	face
44.349	2.075	face
47.362	2.076	face
53.372	2.076	shape
56.386	2.076	shape
59.399	2.076	shape
62.413	2.076	shape
65.426	2.076	shape
68.44	2.076	shape
74.483	2.076	face
77.53	2.076	face
80.544	2.076	face
83.591	2.076	face
86.604	2.076	face
89.651	2.076	face
95.662	2.076	shape
98.675	2.076	shape
101.689	2.076	shape
104.702	2.076	shape
107.716	2.076	shape
110.729	2.076	shape
116.739	2.076	face
119.753	2.076	face
122.766	2.076	face
125.78	2.076	face
128.793	2.076	face
131.807	2.076	face
